"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"Social Psychology of Education","1381-2890",2.9,"SOC PSYCHOL EDUC","1573-1928","PSYCHOLOGY, EDUCATIONAL - SSCI",2472," 24/60 ",3.6,"Q2",2.8,0.4,1
"Social Science Japan Journal","1369-1465",1.1,"SOC SCI JPN J","1468-2680","AREA STUDIES - SSCI",214," 40/84 ",1.3,"Q2",1.1,0.3,2
"Social Science Journal","0362-3319",1.9,"SOC SCI J","1873-5355","SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",1860," 55/110 ",2.1,"Q3",1.9,0.8,1
"Social Sciences in China","0252-9203",1.1,"SOC SCI CHINA","1940-5952","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",861," N/A ",1.1,NA,1.1,0.1,1
"Social Sciences-Basel",NA,1.7,"SOC SCI-BASEL","2076-0760","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",3399," N/A ",NA,NA,1.6,0.5,1
"Social Semiotics","1035-0330",2,"SOC SEMIOT","1470-1219","COMMUNICATION - SSCI",1094," 60/96 ",2.1,"Q3",1.9,0.5,2
"Social Text","0164-2472",3.3,"SOC TEXT","1527-1951","CULTURAL STUDIES - ESCI",1735," N/A ",2.2,NA,3.2,0,1
"Social Theory & Health","1477-8211",1.6,"SOC THEOR HEALTH","1477-822X","SOCIAL SCIENCES, BIOMEDICAL - SSCI",688," 36/45 ",2.1,"Q3",1.6,0.4,1
"Social Welfare Interdisciplinary Approach","2029-7424",0.1,"SOC WELF INTERDISCIP","2424-3876","SOCIAL WORK - ESCI",19," N/A ",0.1,NA,0.1,0,1
"Social Work in Mental Health","1533-2985",1.1,"SOC WORK MENT HEALTH","1533-2993","SOCIAL WORK - ESCI",571," N/A ",1.4,NA,1.1,0.3,1
"Social Work in Public Health","1937-1918",2.5,"SOC WORK PUBLIC HLTH","1937-190X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",1187," 101/180 ",2.1,"Q3",2.4,0.3,2
"Social Work-Maatskaplike Werk","0037-8054",0.6,"SOC WORK-MAATSK WERK","2312-7198","SOCIAL WORK - ESCI",310," N/A ",1,NA,0.5,0,1
"Social and Personality Psychology Compass",NA,4.6,"SOC PERSONAL PSYCHOL","1751-9004","PSYCHOLOGY, SOCIAL - SSCI",6175," 14/63 ",5.3,"Q1",4.5,0.4,1
"Socialine Teorija Empirija Politika ir Praktika","1648-2425",0.2,"SOC TEOR EMP POLIT P","2345-0266","SOCIAL WORK - ESCI",7," N/A ",0.1,NA,0.2,0.1,1
"Socialist Studies","1918-2821",0.1,"SOCIALIST STUD","1918-2821","POLITICAL SCIENCE - ESCI",3," N/A ",0.1,NA,0.1,0,2
"SocietaMutamentoPolitica-Rivista Italiana di Sociologia","2038-3150",0.1,"SOCIETAMUTAMENTOPOLI","2038-3150","SOCIOLOGY - ESCI",45," N/A ",0.2,NA,0.1,0,1
"Societies",NA,2.1,"SOCIETIES","2075-4698","SOCIOLOGY - ESCI",1369," N/A ",1.8,NA,1.9,0.5,1
"Society and Mental Health","2156-8693",5.1,"SOC MENT HEALTH","2156-8731","SOCIOLOGY - SSCI",773," 8/149 ",4.5,"Q1",4.7,0.4,1
"Socio-Economic Review","1475-1461",3.7,"SOCIO-ECON REV","1475-147X","ECONOMICS - SSCI",2772," 96/380 ",4.4,"Q1",3.3,0.8,4
"Sociolinguistic Studies","1750-8649",0.8,"SOCIOLING STUD","1750-8657","LINGUISTICS - ESCI",314," N/A ",0.9,NA,0.7,0.5,1
"Sociologia Nauki i Tehnologij-Sociology of Science & Technology","2079-0910",0.3,"SOCIOL NAUK TEHNOL","2414-9225","HISTORY & PHILOSOPHY OF SCIENCE - ESCI",48," N/A ",0.2,NA,0.1,0,2
"Sociologia y Tecnociencia","1989-8487",0.2,"SOCIOL TEC","1989-8487","SOCIOLOGY - ESCI",24," N/A ",0.2,NA,0.2,0.1,1
"Sociologica-International Journal for Sociological Debate",NA,1.4,"SOCIOLOGICA","1971-8853","SOCIOLOGY - ESCI",461," N/A ",1.3,NA,1.4,0.5,1
"Sociological Methodology","0081-1750",3,"SOCIOL METHODOL","1467-9531","SOCIOLOGY - SSCI",3572," 37/149 ",4.5,"Q1",3,0.7,1
"Sociological Science",NA,3.4,"SOCIOL SCI","2330-6696","SOCIOLOGY - SSCI",1223," 26/149 ",5.6,"Q1",3.3,0.2,1
"Sociologiceskoe Obozrenie","1728-192X",0.5,"SOCIOL OBOZR","1728-1938","SOCIOLOGY - ESCI",151," N/A ",0.4,NA,0.4,0.1,1
"Sociologija","0038-0318",0.3,"SOCIOLOGIJA","0038-0318","SOCIOLOGY - ESCI",101," N/A ",0.2,NA,0.3,0.1,1
"Sociologus","0038-0377",0.1,"SOCIOLOGUS","1865-5106","ANTHROPOLOGY - SSCI",66," 91/92 ",0.3,"Q4",0.1,NA,2
"Sociology Compass","1751-9020",2.7,"SOCIOL COMPASS","1751-9020","SOCIOLOGY - SSCI",3438," 47/149 ",3.3,"Q2",2.5,0.3,1
"Sociology of Development",NA,1.2,"SOCIOL DEV","2374-538X","SOCIOLOGY - ESCI",170," N/A ",1.3,NA,1.1,0.4,1
"Sociology of Race and Ethnicity","2332-6492",3,"SOCIOL RACE ETHNIC","2332-6505","ETHNIC STUDIES - SSCI",1256," 5/20 ",4,"Q1",2.8,0.2,2
"Socius","2378-0231",4.5,"SOCIUS","2378-0231","SOCIOLOGY - ESCI",1878," N/A ",NA,NA,4.2,0.4,1
"Somatechnics","2044-0138",0.9,"SOMATECHNICS","2044-0146","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",137," N/A ",0.8,NA,0.9,0,1
"Somnologie","1432-9123",1.4,"SOMNOLOGIE","1439-054X","CLINICAL NEUROLOGY - ESCI",359," N/A ",1.5,NA,1,0.2,1
"Sonography","2202-8323",0.4,"SONOGRAPHY-AUST","2054-6750","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",63," N/A ",NA,NA,0.4,0.1,1
"Sosyoekonomi","1305-5577",0.3,"SOSYOEKONOMI","1305-5577","ECONOMICS - ESCI",149," N/A ",NA,NA,0.3,0.1,1
"Souls","1099-9949",0.2,"SOULS","1548-3843","ETHNIC STUDIES - SSCI",325," 20/20 ",1.5,"Q4",0.2,NA,1
"South African Crime Quarterly-SACQ","1991-3877",0.5,"S AFR CRIME Q","1991-3877","CRIMINOLOGY & PENOLOGY - ESCI",158," N/A ",0.8,NA,0.4,0.1,1
"South African Family Practice","2078-6190",1,"S AFR FAM PRACT","2078-6204","MEDICINE, GENERAL & INTERNAL - ESCI",763," N/A ",1.1,NA,0.8,0.3,1
"South African Journal of African Languages","0257-2117",0.2,"S AFR J AFR LANG","2305-1159","LANGUAGE & LINGUISTICS - ESCI",152," N/A ",0.3,NA,0.2,0.1,1
"South African Journal of Bioethics and Law","1999-7639",0.9,"S AFR J BIOETH LAW","1999-7639","MEDICAL ETHICS - ESCI",162," N/A ",0.8,NA,0.8,0.5,1
"South African Journal of Child Health","1994-3032",0.4,"S AFR J CHILD HEALTH","1999-7671","PEDIATRICS - ESCI",324," N/A ",0.7,NA,0.4,0,2
"South African Journal of Childhood Education","2223-7674",0.9,"S AFR J CHILD EDUC","2223-7682","EDUCATION & EDUCATIONAL RESEARCH - ESCI",263," N/A ",0.8,NA,0.8,0.1,1
"South African Journal of Clinical Nutrition","1607-0658",1.1,"S AFR J CLIN NUTR","2221-1268","NUTRITION & DIETETICS - ESCI",484," N/A ",1.6,NA,1,0.1,1
"South African Journal of Economic and Management Sciences","2222-3436",1.1,"S AFR J ECON MANAG S","2222-3436","ECONOMICS - SSCI",611," 299/380 ",1.2,"Q4",1,0.2,1
"South African Journal of Education","0256-0100",0.8,"S AFR J EDUC","2076-3433","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1140," 250/269 ",1.4,"Q4",0.8,0.1,1
"South African Journal of Higher Education","1011-3487",0.7,"S AFR J HIGH EDUC","1753-5913","EDUCATION & EDUCATIONAL RESEARCH - ESCI",766," N/A ",0.8,NA,0.5,0.2,1
"South African Journal of Information Management","2078-1865",1.1,"S AFR J INFORM MANAG","1560-683X","INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI",308," N/A ",1.4,NA,1,0.1,1
"South African Journal of International Affairs-SAJIA","1022-0461",1.1,"S AFR J INT AFF","1938-0275","INTERNATIONAL RELATIONS - ESCI",295," N/A ",1.1,NA,0.9,0.2,1
"South African Journal of Libraries and Information Science","0256-8861",0.3,"S AFR J LIBR INF","2304-8263","INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI",127," N/A ",1,NA,0.3,0.1,1
"South African Journal of Physiotherapy","0379-6175",1.1,"SOUTH AFR J PHYSIOTH","2410-8219","REHABILITATION - ESCI",371," N/A ",1.5,NA,1,0.1,1
"South African Journal of Psychiatry","1608-9685",1,"SAJP-S AFR J PSYCHI","2078-6786","PSYCHIATRY - SCIE",384," 142/155 ",1.5,"Q4",0.9,0.2,2
"South African Journal on Human Rights","0258-7203",0.9,"S AFR J HUM RIGHTS","1996-2126","LAW - SSCI",327," 102/154 ",0.9,"Q3",0.2,0.1,1
"South African Review of Sociology","2152-8586",0.8,"S AFR REV SOCIOL","2072-1978","SOCIOLOGY - ESCI",214," N/A ",0.7,NA,0.6,0.4,1
"South Asia Research","0262-7280",0.8,"SOUTH ASIA RES","1741-3141","AREA STUDIES - ESCI",236," N/A ",0.7,NA,0.7,0.1,1
"South Asian Diaspora","1943-8192",0.6,"SOUTH ASIAN DIASPORA","1943-8184","AREA STUDIES - ESCI",72," N/A ",0.4,NA,0.5,0.1,1
"South Asian Journal of Cancer","2278-330X",0.5,"SOUTH ASIAN J CANCER","2278-4306","ONCOLOGY - ESCI",648," N/A ",1,NA,0.5,0.1,1
"South Asian Journal of Macroeconomics and Public Finance","2277-9787",0.9,"S ASIAN J MACROEC PU","2321-0273","ECONOMICS - ESCI",49," N/A ",NA,NA,0.8,0,1
"South Asian Popular Culture","1474-6689",0.3,"S ASIAN POPUL CULT","1474-6697","CULTURAL STUDIES - ESCI",127," N/A ",NA,NA,0.3,0,1
"South East European Journal of Economics and Business","1840-118X",1,"S E EUR J ECON BUS","2233-1999","ECONOMICS - ESCI",205," N/A ",1.3,NA,0.9,0.3,1
"South European Society and Politics","1360-8746",3.3,"S EUR SOC POLIT","1743-9612","POLITICAL SCIENCE - SSCI",996," 38/187 ",3.6,"Q1",2.6,1.1,3
"Southeast Asian Studies","2186-7275",0.4,"SE ASIAN STUD","2423-8686","AREA STUDIES - ESCI",232," N/A ",0.7,NA,0.3,0.1,1
"Southeast European and Black Sea Studies","1468-3857",2.1,"SE EUR BLACK SEA STU","1743-9639","AREA STUDIES - SSCI",675," 13/84 ",1.9,"Q1",1.7,0.3,1
"Southern African Business Review","1998-8125",0.6,"SOUTH AFR BUS REV","1998-8125","LAW - ESCI",218," N/A ",0.6,NA,0.6,0,1
"Southern African Journal of Anaesthesia and Analgesia","2220-1181",0.3,"SOUTH AFR J ANAESTH","2220-1173","ANESTHESIOLOGY - ESCI",270," N/A ",0.4,NA,0.3,0.2,1
"Southern African Journal of Critical Care","1562-8264",0.4,"SOUTH AFR J CRIT CAR","2078-676X","CRITICAL CARE MEDICINE - ESCI",90," N/A ",0.6,NA,0.4,0.2,1
"Southern African Journal of Gynaecological Oncology","2074-2835",0.3,"SOUTH AFR J GYNAECOL","2220-105X","OBSTETRICS & GYNECOLOGY - ESCI",55," N/A ",1,NA,0.3,NA,1
"Southern African Journal of Infectious Diseases","2312-0053",0.9,"SOUTH AFR J INFECT D","2313-1810","INFECTIOUS DISEASES - ESCI",222," N/A ",1.1,NA,0.8,0.3,1
"Southern African Linguistics and Applied Language Studies","1607-3614",0.6,"SO AFR LINGUIST APPL","1727-9461","LANGUAGE & LINGUISTICS - AHCI",286," N/A ",0.5,NA,0.5,0.1,2
"Southern Communication Journal","1041-794X",0.6,"SOUTH COMMUN J","1930-3203","COMMUNICATION - ESCI",554," N/A ",1,NA,0.6,0.1,1
"Sovremennye Tehnologii v Medicine","2076-4243",0.6,"SOVREM TEHNOL MED","2076-4243","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI",252," N/A ",0.4,NA,0.6,0,1
"Space and Culture","1206-3312",1,"SPACE CULT","1552-8308","CULTURAL STUDIES - AHCI",807," N/A ",1.1,NA,0.9,0.3,2
"Spal","1133-4525",0.5,"SPAL","2255-3924","ARCHAEOLOGY - ESCI",155," N/A ",0.6,NA,0.3,0.3,1
"Spanish Journal of Psychology","1138-7416",2.3,"SPAN J PSYCHOL","1988-2904","PSYCHOLOGY - SCIE",2282," 44/81 ",2,"Q3",2.3,0.3,2
"Spanish in Context","1571-0718",0.5,"SPAN CONTEXT","1571-0726","LANGUAGE & LINGUISTICS - AHCI",189," N/A ",0.8,NA,0.5,0.1,2
"Spatial Cognition and Computation","1387-5868",1.9,"SPAT COGN COMPUT","1542-7633","PSYCHOLOGY, EXPERIMENTAL - SSCI",509," 61/89 ",2.3,"Q3",1.8,0.2,1
"Spatial Demography","2364-2289",1.9,"SPAT DEMOGR","2164-7070","DEMOGRAPHY - ESCI",186," N/A ",1.6,NA,1.9,0.4,1
"Spatial Economic Analysis","1742-1772",2.3,"SPAT ECON ANAL","1742-1780","ECONOMICS - SSCI",883," 169/380 ",2.2,"Q3",1.8,0.7,1
"Spatial and Spatio-Temporal Epidemiology","1877-5845",3.4,"SPAT SPATIO-TEMPORAL","1877-5853","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",874," N/A ",2.7,NA,3.1,0.4,1
"Special Care in Dentistry","0275-1879",1.4,"SPEC CARE DENT","1754-4505","DENTISTRY, ORAL SURGERY & MEDICINE - ESCI",1450," N/A ",1.5,NA,1.2,0.2,1
"Spectrum","2162-3244",0,"SPECTRUM-J BLACK MEN","2162-3252","ETHNIC STUDIES - ESCI",48," N/A ",0.3,NA,0,NA,1
"Speech Language and Hearing","2050-571X",1.5,"SPEECH LANG HEARING","2050-5728","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - ESCI",240," N/A ",1.2,NA,1.4,0.5,1
"Spektrum der Augenheilkunde","0930-4282",0.1,"SPEKTRUM AUGENHEILKD","1613-7523","OPHTHALMOLOGY - ESCI",44," N/A ",0.1,NA,0.1,0.1,1
"Spinal Cord Series and Cases","2058-6124",1.2,"SPINAL CORD SER CASE","2058-6124","CLINICAL NEUROLOGY - ESCI",639," N/A ",NA,NA,1.1,0.2,2
"Spine Deformity","2212-134X",1.6,"SPINE DEFORM","2212-1358","CLINICAL NEUROLOGY - ESCI",1910," N/A ",NA,NA,1.3,0.2,2
"Spine Journal","1529-9430",4.5,"SPINE J","1878-1632","CLINICAL NEUROLOGY - SCIE",13629," 56/212 ",4.6,"Q2",4.2,1.2,2
"Spine Surgery and Related Research","2432-261X",1.2,"SPINE SURG RELAT RES","2432-261X","SURGERY - ESCI",438," N/A ",1.6,NA,1.2,0.2,1
"Spirituality in Clinical Practice","2326-4500",1.7,"SPIRITUAL CLIN PRACT","2326-4519","PSYCHOLOGY, CLINICAL - ESCI",394," N/A ",1.7,NA,1.4,0.7,1
"Spontaneous Generations-Journal for the History and Philosophy of Science","1913-0465",NA,"SPONTANEOUS GENER","1913-0465","HISTORY & PHILOSOPHY OF SCIENCE - ESCI",53," N/A ",5,NA,NA,0.1,1
"Sport Business and Management-An International Journal","2042-678X",1.3,"SPORT BUS MANAG","2042-6798","HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",470," N/A ",1.6,NA,1.1,0.5,1
"Sport Ethics and Philosophy","1751-1321",1.3,"SPORT ETHICS PHILOS","1751-133X","ETHICS - ESCI",356," N/A ",1,NA,1,0.4,1
"Sport Exercise and Performance Psychology","2157-3905",2.2,"SPORT EXERC PERFORM","2157-3913","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",934," 44/58 ",3.4,"Q3",2.1,0.4,2
"Sport Management Education Journal","1938-6974",1.7,"SPORT MANAG EDUC J","2163-2367","EDUCATION & EDUCATIONAL RESEARCH - ESCI",226," N/A ",1.9,NA,0.9,0.6,1
"Sport Management Review","1441-3523",4.1,"SPORT MANAG REV","1839-2083","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",3296," 25/58 ",5.2,"Q2",3.8,0.4,1
"Sport Marketing Quarterly","1061-6934",1.5,"SPORT MARKET Q","1557-2528","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",973," 53/58 ",2.2,"Q4",1.3,0.2,1
"Sport Sciences for Health","1824-7490",1.5,"SPORT SCI HLTH","1825-1234","SPORT SCIENCES - ESCI",941," N/A ",NA,NA,1.3,0.5,1
"Sport TK-Revista Euroamericana de Ciencias del Deporte","2340-8812",0.6,"SPORT TK","2340-8812","SPORT SCIENCES - ESCI",251," N/A ",0.7,NA,0.6,0.5,1
"Sport in History","1746-0263",0.8,"SPORT HIST","1746-0271","HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",198," N/A ",0.7,NA,0.5,0,1
"Sport in Society","1743-0437",1.4,"SPORT SOC","1743-0445","HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",2385," 54/58 ",1.6,"Q4",1.4,0.2,2
"Sportis-Scientific Technical Journal of School Sport Physical Education and Psychomotricity","2386-8333",0.7,"SPORTIS","2386-8333","EDUCATION & EDUCATIONAL RESEARCH - ESCI",126," N/A ",0.7,NA,0.6,0.2,1
"Sports",NA,2.7,"SPORTS","2075-4663","SPORT SCIENCES - ESCI",3105," N/A ",3.3,NA,2.5,0.6,1
"Sports Biomechanics","1476-3141",2.2,"SPORT BIOMECH","1752-6116","ENGINEERING, BIOMEDICAL - SCIE",2339," 71/96 ",2.5,"Q3",2,0.6,2
"Sports Coaching Review","2164-0629",2.1,"SPORTS COACH REV","2164-0637","HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI",332," N/A ",NA,NA,1.7,0.4,1
"Sports Engineering","1369-7072",1.7,"SPORTS ENG","1460-2687","SPORT SCIENCES - ESCI",603," N/A ",1.6,NA,1.4,0.4,1
"Sports Health-A Multidisciplinary Approach","1941-7381",3.3,"SPORTS HEALTH","1941-0921","SPORT SCIENCES - SCIE",3811," 24/87 ",4.2,"Q1",3,0.4,1
"Sports Medicine-Open","2199-1170",4.6,"SPORTS MED-OPEN","2198-9761","SPORT SCIENCES - SCIE",2206," 12/87 ",5.7,"Q1",4.4,1.1,1
"Sprache & Sprachen","0934-6813",0,"SPRACHE SPRACHEN","2199-6016","LANGUAGE & LINGUISTICS - ESCI",0," N/A ",0,NA,0,0,1
"Sravnitelnaya Politika-Comparative Politics","2221-3279",0.1,"SRAVN POLIT","2412-4990","POLITICAL SCIENCE - ESCI",48," N/A ",0.1,NA,0.1,NA,2
"Sri Lanka Journal of Social Sciences","0258-9710",0.5,"SRI LANKA J SOC SCI","2478-1169","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",48," N/A ",0.6,NA,0.5,0.1,1
"Sri Lankan Journal of Anaesthesiology","1391-8834",0.2,"SRI LANKAN J ANAESTH","2279-1965","ANESTHESIOLOGY - ESCI",68," N/A ",0.2,NA,0.2,0,1
"Srpski Arhiv za Celokupno Lekarstvo","0370-8179",0.2,"SRP ARK CELOK LEK","0370-8179","MEDICINE, GENERAL & INTERNAL - SCIE",547," 166/169 ",0.2,"Q4",0.1,0,1
"St Theresa Journal of Humanities and Social Sciences","2408-2120",0.3,"ST THERESA J HUMANIT","2539-5947","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",26," N/A ",NA,NA,0.2,0.1,1
"Stability-International Journal of Security and Development","2165-2627",1.2,"STABILITY","2165-2627","INTERNATIONAL RELATIONS - ESCI",244," N/A ",1,NA,1.2,0.4,1
"Stata Journal","1536-867X",4.8,"STATA J","1536-8734","SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI",8305," 8/53 ",6.2,"Q1",4.6,0.4,1
"State Crime","2046-6056",0.8,"STATE CRIME","2046-6064","POLITICAL SCIENCE - ESCI",117," N/A ",1,NA,0.7,0.2,2
"State Politics & Policy Quarterly","1532-4400",1.5,"STATE POLIT POLICY Q","1946-1607","POLITICAL SCIENCE - SSCI",774," 117/187 ",1.6,"Q3",1.4,0.3,2
"Statistics and Public Policy","2330-443X",1.6,"STAT PUBLIC POLICY","2330-443X","SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI",134," N/A ",1.7,NA,1.5,0.3,1
"Statistika-Statistics and Economy Journal","0322-788X",0.2,"STATISTIKA","1804-8765","ECONOMICS - ESCI",83," N/A ",0.3,NA,0.2,0,1
"Statute Law Review","0144-3593",0.3,"STATUTE LAW REV","1464-3863","LAW - ESCI",110," N/A ",0.4,NA,0.3,0.4,1
"Stellenbosch Papers in Linguistics Plus-SPiL Plus","1726-541X",0.2,"STELL PAP LING PLUS",NA,"LINGUISTICS - ESCI",92," N/A ",0.3,NA,0.2,0.1,1
"Stem Cell Research & Therapy",NA,7.5,"STEM CELL RES THER","1757-6512","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",21944," 27/136 ",8,"Q1",6.9,1.4,1
"Stem Cell Reviews and Reports","2629-3269",4.8,"STEM CELL REV REP","2629-3277","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",4213," 53/136 ",4.7,"Q2",4.6,1.1,1
"Stigma and Health","2376-6972",3,"STIGMA HEALTH","2376-6964","PSYCHOLOGY, SOCIAL - ESCI",1078," N/A ",NA,NA,2.8,0.5,2
"Stilistica e Metrica Italiana","1591-6693",0.2,"STILISTICA METR ITAL","1591-6693","LANGUAGE & LINGUISTICS - ESCI",8," N/A ",0.1,NA,0,0,1
"Storia del Pensiero Politico","2279-9818",0.1,"STOR PENSIERO POLIT","2279-9818","POLITICAL SCIENCE - ESCI",23," N/A ",0.1,NA,0.1,0,2
"Storia delle Donne","1826-7513",0.1,"STOR DONNE","1826-7505","WOMENS STUDIES - ESCI",15," N/A ",0,NA,0.1,NA,1
"Strabismus","0927-3972",0.9,"STRABISMUS","1744-5132","OPHTHALMOLOGY - ESCI",664," N/A ",1.2,NA,0.8,0.3,1
"Strategic Analysis","0970-0161",0.9,"STRATEG ANAL","1754-0054","INTERNATIONAL RELATIONS - ESCI",429," N/A ",1,NA,0.9,0,1
"Strategic Behavior and the Environment","1944-012X",0.4,"STRATEG BEHAV ENVIRO","1944-0138","ENVIRONMENTAL STUDIES - ESCI",35," N/A ",0.3,NA,0.4,NA,1
"Strategic Review for Southern Africa","1013-1108",0.5,"STRATEG REV SOUTH AF","1013-1108","POLITICAL SCIENCE - ESCI",99," N/A ",0.7,NA,0.5,0,2
"Strategies in Trauma and Limb Reconstruction",NA,0.8,"STRATEG TRAUMA LIMB","1828-8928","ORTHOPEDICS - ESCI",561," N/A ",1.3,NA,0.8,0.1,1
"Stratum Plus","1608-9057",0.2,"STRATUM PLUS","1857-3533","ARCHAEOLOGY - ESCI",226," N/A ",NA,NA,0.1,0,1
"Stroke Research and Treatment","2090-8105",1.5,"STROKE RES TREAT","2042-0056","PERIPHERAL VASCULAR DISEASE - ESCI",941," N/A ",4.4,NA,1.5,0.1,2
"Stroke and Vascular Neurology","2059-8688",5.9,"STROKE VASC NEUROL","2059-8696","CLINICAL NEUROLOGY - SCIE",2098," 30/212 ",7.3,"Q1",5.8,0.7,1
"Structural Change and Economic Dynamics","0954-349X",6.1,"STRUCT CHANGE ECON D","1873-6017","ECONOMICS - SSCI",4114," 38/380 ",5.7,"Q1",5.8,1.8,1
"Structural Heart-The Journal of the Heart Team","2474-8706",1.1,"STRUCT HEART","2474-8714","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI",244," N/A ",0.9,NA,1.1,0.3,1
"Student Success","2205-0795",1.2,"STUD SUCCESS","2205-0795","EDUCATION & EDUCATIONAL RESEARCH - ESCI",252," N/A ",1.7,NA,1,0.3,1
"Studi e Saggi Linguistici","0085-6827",0.4,"STUD SAGGI LINGUIST",NA,"LINGUISTICS - ESCI",31," N/A ",0.3,NA,0.4,0.2,1
"Studi irlandesi-A Journal of Irish Studies","2239-3978",0,"STUDI IRL","2239-3978","AREA STUDIES - ESCI",11," N/A ",0.1,NA,0,0,1
"Studia Ethnologica Croatica","1330-3627",0,"STUD ETHNOL CROAT","1848-9532","ANTHROPOLOGY - ESCI",26," N/A ",0.2,NA,0,0,1
"Studia Metrica et Poetica","2346-6901",0.6,"STUD METR POETICA","2346-691X","LANGUAGE & LINGUISTICS - ESCI",47," N/A ",0.7,NA,0.5,0,1
"Studia Universitatis Vasile Goldis Arad Seria Stiinte Economice","1584-2339",1.4,"STUD U VASILE GOL EC","2285-3065","ECONOMICS - ESCI",122," N/A ",NA,NA,0.8,0.3,1
"Studia z Filologii Polskiej i Slowianskiej","0081-7090",0,"STUD FILOL POLSK SLO","2392-2435","LANGUAGE & LINGUISTICS - ESCI",7," N/A ",0,NA,0,0,1
"Studien zur Deutschen Sprache und Literatur-Alman Dili ve Edebiyati Dergisi","1303-9407",0,"STUD DTSCH SPRACHE L","2619-9890","LINGUISTICS - ESCI",2," N/A ",0,NA,0,0.1,1
"Studies in Art Education","0039-3541",0.6,"STUD ART EDUC","2325-8039","EDUCATION & EDUCATIONAL RESEARCH - ESCI",409," N/A ",0.8,NA,0.3,0.1,1
"Studies in Business and Economics","1842-4120",0.6,"STUD BUS ECON-ROM","2344-5416","ECONOMICS - ESCI",267," N/A ",0.7,NA,0.5,0.1,1
"Studies in Conflict & Terrorism","1057-610X",2,"STUD CONFL TERROR","1521-0731","INTERNATIONAL RELATIONS - SSCI",2300," 39/96 ",2.2,"Q2",1.8,0.7,3
"Studies in Continuing Education","0158-037X",1.5,"STUD CONTIN EDUC","1470-126X","EDUCATION & EDUCATIONAL RESEARCH - SSCI",722," 213/269 ",1.8,"Q3",1.4,0.2,1
"Studies in Educational Evaluation","0191-491X",3.1,"STUD EDUC EVAL",NA,"EDUCATION & EDUCATIONAL RESEARCH - SSCI",2280," 91/269 ",3.2,"Q2",2.9,0.8,2
"Studies in Ethnicity and Nationalism","1473-8481",0.6,"STUD ETHN NATL","1754-9469","ETHNIC STUDIES - ESCI",270," N/A ",0.9,NA,0.6,0.6,1
"Studies in Graduate and Postdoctoral Education","2398-4686",1.1,"STUD GRAD POSTDR EDU","2398-4694","EDUCATION & EDUCATIONAL RESEARCH - ESCI",123," N/A ",1.3,NA,1,0.1,1
"Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences","1369-8486",0.9,"STUD HIST PHI PART C","1879-2499","HISTORY & PHILOSOPHY OF SCIENCE - AHCI",1029," N/A ",1.1,NA,0.9,NA,3
"Studies in Indian Politics","2321-0230",0.5,"STUD INDIAN POLITICS","2321-7472","POLITICAL SCIENCE - ESCI",98," N/A ",0.6,NA,0.4,0,2
"Studies in Language Assessment","2653-5335",NA,"STUD LANG ASSESS","2653-5335","LINGUISTICS - ESCI",0," N/A ",NA,NA,NA,0,1
"Studies in Psychology","0210-9395",0.7,"STUD PSYCHOL-MADRID","1579-3699","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",52," 135/147 ",0.7,"Q4",0.7,0.5,1
"Studies in Psychology-Psikoloji Calismalari Dergisi","1304-4680",0.3,"STUD PSYCHOL-TURKEY","2602-2982","PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",39," N/A ",0.3,NA,0.3,0,1
"Studies in Science Education","0305-7267",4.9,"STUD SCI EDUC","1940-8412","EDUCATION & EDUCATIONAL RESEARCH - SSCI",926," 27/269 ",4.8,"Q1",4.8,0.6,2
